source_scan,fourier_number,spatial_points,quantum_steps_nt,status,strict_accuracy_passed_1_0,physics_audit_passed_1_0,max_abs_error_k,rmse_k,relative_l2_error,runtime_s,min_temperature_k,max_temperature_k
working_region_fo,0.04,32,4,success,0,1,4.549190444868273,3.1082224216184686,0.06423884076868422,3.3866035998798907,6.756209582090378,62.75703310966492
working_region_fo,0.04,32,8,success,1,1,0.9919792842084831,0.6772456487803107,0.013996899028425734,5.814059967175126,6.487683951854706,66.3142442703247
working_region_fo,0.04,32,16,success,1,1,0.23733083717173997,0.16217154200150827,0.0033516622849732603,10.522025895304978,6.425704061985016,67.06889271736145
working_region_gapfill,0.05,32,1,success,0,0,35.05891557052641,24.8609434018276,0.567108763420255,1.5400308007374406,-0.1981482608243823,96.03956937789917
working_region_gapfill,0.05,32,2,success,0,0,60.77711390199042,43.74789780288445,0.9979434739956669,2.3261682027950883,-0.4467237275093794,0.6766602862626314
working_region_gapfill,0.05,32,4,success,0,1,8.671575829238613,5.977709924184076,0.1363589316944347,3.3204966951161623,6.148569285869598,52.309077978134155
working_region_gapfill,0.05,32,8,success,0,1,1.6517545665539117,1.1729727508397914,0.026756954291827385,5.703509849961847,5.843086540699005,59.33655500411987
working_region_gapfill,0.05,32,16,success,1,1,0.3203000510967584,0.225911107850921,0.005153310835614446,10.271118451841176,5.815158039331436,60.670632123947144
working_region_gapfill,0.05,32,32,success,1,1,0.020777071964786842,0.013008361361109059,0.00029673675718517044,19.520131536759436,5.8123622089624405,60.966479778289795
working_region_grid,0.06,8,1,success,1,1,0.37673951060732236,0.2503877542757856,0.006035742527864293,1.162477714009583,19.095806777477264,54.0951669216156
working_region_grid,0.06,8,2,success,1,1,0.26010035603086124,0.22361810499757326,0.0053904445536408635,1.1054588719271123,19.08479332923889,54.732006788253784
working_region_grid,0.06,16,1,success,0,0,16.16525342217634,11.133963632621866,0.27617172378120913,1.2270245430991054,10.29203087091446,38.91101777553558
working_region_grid,0.06,16,2,success,0,1,2.907454869663219,1.9808223827208338,0.0491331883227639,1.6129226088523865,10.302817076444626,52.168816328048706
working_region_grid,0.06,16,4,success,1,1,0.5079506849403188,0.33911255337066626,0.008411496705973196,2.2786778402514756,10.23186668753624,54.568320512771606
working_region_grid,0.06,16,8,success,1,1,0.047253477076695916,0.042689741327605155,0.0010588950924606494,3.8450239738449454,10.210847854614258,55.114346742630005
working_region_fo,0.06,32,1,success,0,0,25.536952799862256,16.92981305695609,0.4262496774887893,1.5384406549856067,-2.9792597517371178,80.78652620315552
working_region_grid,0.06,32,1,success,0,0,25.536952799862256,16.92981305695609,0.4262496774887893,1.5443399888463318,-2.9792597517371178,80.78652620315552
working_region_fo,0.06,32,2,success,0,0,133.63162118822896,89.46577322128135,2.252520854988862,2.3264034437015653,-11.800964921712875,188.88119459152222
working_region_grid,0.06,32,2,success,0,0,133.63162118822896,89.46577322128135,2.252520854988862,2.375589455012232,-11.800964921712875,188.88119459152222
working_region_fo,0.06,32,4,success,0,0,15.107564741069453,10.510492916085624,0.2646275065564843,3.4002152290195227,5.381563678383827,40.142008662223816
working_region_grid,0.06,32,4,success,0,0,15.107564741069453,10.510492916085624,0.2646275065564843,3.326308500021696,5.381563678383827,40.142008662223816
working_region_fo,0.06,32,8,success,0,1,2.7679399785343577,1.9163328812638056,0.048248392929787214,5.829333998262882,5.330982431769371,52.48163342475891
working_region_grid,0.06,32,8,success,0,1,2.7679399785343577,1.9163328812638056,0.048248392929787214,5.731773137114942,5.330982431769371,52.48163342475891
working_region_fo,0.06,32,16,success,1,1,0.5482808884922434,0.3767032448735916,0.00948443057794866,10.431777959223837,5.286580324172974,54.701292514801025
working_region_grid,0.06,32,16,success,1,1,0.5482808884922434,0.3767032448735916,0.00948443057794866,10.311399224214256,5.286580324172974,54.701292514801025
