point_index,x_m,x_mm,is_protocol_boundary,analytic_k,classical_fd_k,quantum_gpu_k,quantum_cpu_k,abs_error_quantum_gpu_k,abs_error_quantum_cpu_k,abs_error_classical_fd_k
16,0.0048484848484848485,4.848484848484849,0,98.9057403419975,98.90638115602745,98.89591336250305,98.89599084854126,0.009826979494448551,0.009749493456240543,0.0006408140299498655
17,0.005151515151515152,5.151515151515151,0,98.90574034199749,98.90638115602745,98.89591336250305,98.89599084854126,0.00982697949443434,0.009749493456226332,0.0006408140299640763
18,0.005454545454545455,5.454545454545455,0,98.01003464152755,98.01066965224643,98.00031185150146,98.00042510032654,0.009722790026089001,0.009609541201015759,0.0006350107188808352
19,0.005757575757575757,5.757575757575758,0,96.22673489011468,96.22735834676705,96.2171733379364,96.2171196937561,0.00956155217828325,0.009615196358581102,0.0006234566523630747
20,0.006060606060606061,6.0606060606060606,0,93.57199092645838,93.57259718292426,93.56263875961304,93.5626745223999,0.009352166845346233,0.009316404058480998,0.0006062564658719793
21,0.006363636363636364,6.363636363636364,0,90.0698445229908,90.07042808891778,90.06083607673645,90.06080031394958,0.009008446254355817,0.009044209041221052,0.0005835659269735061
22,0.006666666666666666,6.666666666666666,0,85.75201165986259,85.75256725038724,85.74339747428894,85.74336171150208,0.00861418557364857,0.008649948360513804,0.0005555905246552584
23,0.0069696969696969695,6.96969696969697,0,80.65759530011515,80.65811788372366,80.6494414806366,80.6494414806366,0.008153819478550872,0.008153819478550872,0.0005225836085145374
24,0.007272727272727273,7.2727272727272725,0,74.83273126719223,74.83321611128653,74.82515573501587,74.82509016990662,0.007575532176360866,0.007641097285613796,0.00048484409430216147
25,0.007575757575757576,7.575757575757576,0,68.33017043177855,68.3306131455354,68.3231770992279,68.32324266433716,0.006993332550649711,0.006927767441396782,0.00044271375683990755
26,0.00787878787878788,7.878787878787879,0,61.208800991745974,61.20919756588109,61.20254993438721,61.20252013206482,0.006251057358767298,0.006280859681154993,0.000396574135116623
27,0.008181818181818182,8.181818181818182,0,53.53311517151489,53.53346201459145,53.527623414993286,53.52760553359985,0.005491756521607272,0.005509637915039889,0.00034684307655652447
28,0.008484848484848484,8.484848484848484,0,45.372625170482635,45.37291914143601,45.36789059638977,45.367974042892456,0.004734574092864818,0.0046511275901792715,0.0002939709533720247
29,0.008787878787878787,8.787878787878787,0,36.80123364978159,36.801472086365365,36.79743409156799,36.797475814819336,0.003799558213593457,0.0037578349622506835,0.00023843658377842303
30,0.00909090909090909,9.09090909090909,0,27.896564458336183,27.896745201231678,27.893856167793274,27.893802523612976,0.0027082905429089976,0.002761934723206849,0.00018074289549474543
31,0.009393939393939394,9.393939393939394,0,18.739259659266168,18.739381071637766,18.7380388379097,18.738028407096863,0.0012208213564690595,0.001231252169304753,0.00012141237159823959
32,0.009696969696969697,9.696969696969697,0,9.412249222875694,9.412310205194153,9.412875771522522,9.412870556116104,0.0006265486468279846,0.0006213332404101379,6.098231845896862e-05
33,0.01,10.0,1,1.2126194698306634e-14,0.0,0.0,0.0,1.2126194698306634e-14,1.2126194698306634e-14,1.2126194698306634e-14
